label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,complexity,equation,run,seed
RF_platt,0.7934,0.4859,0.1137,18.9,0.0165,0.9514,-0.0356,0.7215,0.7387,0.4797,0.7851,0.1696,RF_platt,,,28,27
APACHE-IV,0.7158,0.3668,0.1334,5.2,0.0509,0.4823,-0.8493,0.6504,0.7037,0.4192,0.6904,0.2001,APACHE-IV,,,28,27
GP,0.7678,0.444,0.1185,15.6,0.0148,1.0993,0.1412,0.7162,0.6918,0.443,0.7605,0.1587,GP,23.0,"((max(intubated, vent) + (((age_numeric - (min(map_mean, platelets_min) - respiratoryrate)) / temperature) + sqrt(bilirubin + lactate_max))) - log(pf_ratio)) * 0.76380485",29,28
LR,0.7845,0.4908,0.186,-32.5,0.2517,1.0059,-1.601,0.626,0.7958,0.4758,0.6587,0.5477,LR,,,29,28
RF,0.7921,0.4703,0.128,8.8,0.1115,1.5364,-0.37,0.7719,0.674,0.4572,0.7363,0.2933,RF,,,29,28
XGB,0.773,0.4634,0.1377,1.9,0.1159,0.7979,-0.9722,0.6525,0.7597,0.4602,0.715,0.3628,XGB,,,29,28
LR_platt,0.7845,0.4908,0.1136,19.0,0.0154,1.1616,0.1947,0.626,0.7958,0.4758,0.7768,0.201,LR_platt,,,29,28
RF_platt,0.7921,0.4703,0.1154,17.8,0.0136,1.1976,0.2769,0.7719,0.674,0.4572,0.7852,0.1584,RF_platt,,,29,28
APACHE-IV,0.7121,0.3833,0.1297,6.2,0.0547,0.4341,-0.9241,0.7059,0.6569,0.4113,0.6848,0.1725,APACHE-IV,,,29,28
GP,0.7553,0.4314,0.12,14.5,0.0125,1.1472,0.1977,0.6923,0.6875,0.4286,0.7491,0.1706,GP,18.0,"((sqrt(vent + lactate_max) + -1.9045843) - min(gcs_total / bun, pf_ratio_miss)) - (min(map_mean, platelets_min) / age_numeric)",30,29
LR,0.7789,0.4655,0.1878,-33.8,0.2515,0.9539,-1.5824,0.6897,0.7322,0.4586,0.6532,0.4936,LR,,,30,29
RF,0.791,0.4833,0.1273,9.3,0.1118,1.4963,-0.41,0.7082,0.7322,0.468,0.7351,0.3176,RF,,,30,29
XGB,0.7741,0.4492,0.1376,2.0,0.1121,0.7722,-0.9714,0.8329,0.5792,0.4266,0.718,0.2178,XGB,,,30,29
LR_platt,0.7789,0.4655,0.1162,17.2,0.0183,1.0035,-0.1249,0.6897,0.7322,0.4586,0.7698,0.186,LR_platt,,,30,29
RF_platt,0.791,0.4833,0.1141,18.7,0.0149,1.0524,-0.0361,0.7082,0.7322,0.468,0.7836,0.1909,RF_platt,,,30,29
APACHE-IV,0.7172,0.411,0.1294,8.3,0.0555,0.4498,-0.879,0.5817,0.7798,0.438,0.6894,0.2505,APACHE-IV,,,30,29
