threshold,GP_mean,GP_std,LR_mean,LR_std,RF_mean,RF_std,XGB_mean,XGB_std,LR_platt_mean,LR_platt_std,RF_platt_mean,RF_platt_std,APACHE-IV_mean,APACHE-IV_std
0.16758793969849248,0.05706726391489654,0.006232126874265582,0.024252192742049813,0.001950006016346493,0.04406450778319173,0.002517896086007589,0.05853007420500159,0.003257969574643488,0.06640438605633188,0.004570338063113691,0.06818700206503737,0.003998249175634941,0.05379703082844414,0.004524894284155167
0.17005025125628143,0.05632233437747003,0.006290365777845373,0.022337504710292628,0.0019214849580541915,0.04289823804776911,0.002458701557881676,0.05746560279761104,0.003223644744222759,0.06532380801261134,0.0043255434078647535,0.06730371261985328,0.004045544334657766,0.05347436770623064,0.004458896707613156
0.17251256281407037,0.055539599965128125,0.006332037937527517,0.02045184879568379,0.0019236149169855863,0.041892862611415685,0.0025285619141433703,0.05632079658690873,0.0035416944399379174,0.06462056638710886,0.004474308222235883,0.06654078964970339,0.003946450519149777,0.052849640457357995,0.004449601914261389
0.17497487437185932,0.05500610260482729,0.006387294417564439,0.018714427498310607,0.002151590882097421,0.040693697208203976,0.0026415916073139947,0.05522957837700697,0.0035949849314932656,0.06378101352792713,0.004471760341479898,0.06585653198748162,0.004170120187253867,0.05148521493125534,0.0043729480481976635
0.17743718592964824,0.05422065132072064,0.006400131839624211,0.01687728409327902,0.0021514026452642107,0.039543677760576414,0.002674223726771578,0.05395200556912876,0.003587491084739741,0.06276436885114768,0.004453634323887151,0.06479145756375002,0.004110876443073797,0.050151453488978336,0.004265622547769045
0.1798994974874372,0.05316176104715659,0.006152119342741116,0.015039594730264099,0.0020476704786806135,0.038338653120600384,0.002458867987728836,0.05285768434855657,0.0037378945604056336,0.06187287610969153,0.004584263737595376,0.06392553102745799,0.0038434757913584122,0.04980927072706675,0.004364588578883434
0.18236180904522614,0.05229646661727007,0.0059311590008039195,0.013165822180591404,0.0020712517607772794,0.0373814912369862,0.0025985590459766347,0.051685531306774085,0.0037836564388656502,0.06096462762204011,0.00461249475654263,0.06321514583347038,0.0037711929097416076,0.048772364511295505,0.004522274686288754
0.1848241206030151,0.05153053185822646,0.005850536611425055,0.011418771958099119,0.0020725876179503054,0.03651453193964639,0.002587048149961445,0.05022141565448014,0.0039126900072502194,0.060322563173098205,0.004594442802852745,0.06232772778077366,0.0037117642568398725,0.04798993525606798,0.004529557689848674
0.18728643216080404,0.050769828287913994,0.005705148651558631,0.00938892393040107,0.002157249298402478,0.035747999497927514,0.002702665775861935,0.04904047589557921,0.0037909565195085684,0.05955177766242183,0.004496138320674185,0.061506062135463606,0.0036851509849033237,0.046573855637517834,0.0046662126259538
0.189748743718593,0.04997637172933796,0.005635298489140047,0.0076241713672316,0.002290692846067004,0.03490519380903387,0.0027919205610211057,0.04795350587359072,0.003898400541818721,0.05893305091245193,0.004442405728146238,0.060669807499121695,0.003525542797133162,0.04561701718758693,0.004614866155641616
