label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,run,seed
XGB,0.7447,0.4398,0.1544,-3.4,0.128,0.7147,-1.0156,0.7136,0.647,0.4336,0.6807,0.3091,XGB,25,24
LR_platt,0.7599,0.4535,0.1269,15.1,0.0136,0.9505,0.0038,0.5831,0.7998,0.4706,0.7531,0.2088,LR_platt,25,24
RF_platt,0.7824,0.4626,0.1248,16.4,0.0227,1.0196,0.1602,0.7698,0.6585,0.467,0.7711,0.1457,RF_platt,25,24
APACHE-IV,0.7152,0.3788,0.1344,6.0,0.0534,0.4735,-0.8365,0.7147,0.6369,0.4142,0.6885,0.1731,APACHE-IV,25,24
GP,0.749,0.4314,0.1144,14.6,0.0197,1.1509,0.2516,0.7131,0.6391,0.3941,0.7391,0.139,GP,26,25
LR,0.7681,0.4652,0.1852,-38.3,0.2507,0.9345,-1.6179,0.6156,0.7836,0.4465,0.6427,0.5325,LR,26,25
RF,0.7854,0.4646,0.1241,7.4,0.1158,1.5413,-0.3953,0.727,0.6918,0.4336,0.7275,0.2926,RF,26,25
XGB,0.7555,0.4301,0.1438,-7.4,0.1392,0.7817,-1.1157,0.7187,0.6712,0.4161,0.6859,0.3082,XGB,26,25
LR_platt,0.7681,0.4652,0.1107,17.3,0.0102,1.0463,0.0118,0.6156,0.7836,0.4465,0.763,0.1913,LR_platt,26,25
RF_platt,0.7854,0.4646,0.1097,18.1,0.0145,1.1067,0.1299,0.727,0.6918,0.4336,0.7782,0.1537,RF_platt,26,25
APACHE-IV,0.7292,0.3895,0.1261,6.6,0.0512,0.5782,-0.7964,0.561,0.787,0.4201,0.7036,0.2662,APACHE-IV,26,25
GP,0.7374,0.4543,0.132,14.2,0.017,0.9831,0.0706,0.5791,0.7619,0.4464,0.7289,0.1941,GP,27,26
LR,0.757,0.476,0.2019,-31.2,0.2502,0.8124,-1.4981,0.7327,0.6439,0.4507,0.6319,0.4573,LR,27,26
RF,0.7656,0.486,0.1392,9.5,0.1044,1.2856,-0.4652,0.6169,0.7676,0.4731,0.7134,0.3569,RF,27,26
XGB,0.7646,0.4706,0.1522,1.1,0.1223,0.7656,-0.9576,0.735,0.6595,0.4612,0.7035,0.3058,XGB,27,26
LR_platt,0.757,0.476,0.1291,16.1,0.0223,0.9197,-0.0124,0.7327,0.6439,0.4507,0.7459,0.1459,LR_platt,27,26
RF_platt,0.7656,0.486,0.1279,16.9,0.0163,0.9331,0.0032,0.6169,0.7676,0.4731,0.7575,0.212,RF_platt,27,26
APACHE-IV,0.6932,0.4319,0.1494,5.9,0.0657,0.3762,-0.8463,0.6774,0.631,0.427,0.6603,0.1893,APACHE-IV,27,26
